Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Gateway to Nature Center,Firehouse Museum,Hellman Quon,IAMLA,Pico House ,Visitor Center/ El Tranquilo Gallery,Museum of Social Justice,Biscailuz Gallery/ PK Outdoor Exhibit
04/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
05/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
06/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
07/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
08/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
09/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
10/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,2533
11/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,3801
12/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
01/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
02/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
03/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
04/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
05/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,4710,0
06/01/2021 12:00:00 AM,1047,3710,0,0,1159,,227,0,,3235,0
07/01/2021 12:00:00 AM,0,7933,0,0,2083,0,602,0,0,1872,0
08/01/2021 12:00:00 AM,892,6214,0,0,1491,0,416,0,0,1591,0
